sku,image name,title,brand,product_type,length
HDD500GBSATAL,,HDD500GBSATAL - Dell 500GB 7200RPM SATA 1.5GB/s 2.5-inch Hard Drive,Dell,Laptop Hard Drive,13
0004442U,,0004442U - Dell 6GB 4200RPM ATA / IDE 2.5-inch Hard Drive,Dell,Laptop Hard Drive,8
HP-33606,,HP-33606 - Dell 120GB 5400RPM SATA 2.5-inch Hard Disk Drive,Dell,Laptop Hard Drive,8
0005074T,,0005074T - Dell 6GB 4200RPM ATA / IDE 2.5-inch Hard Drive,Dell,Laptop Hard Drive,8
0J30643,,0J30643 - Dell / Hitachi 1TB 7200RPM SATA 6Gb/s 32MB Cache 2.5-inch Hard Drive,Dell,Laptop Hard Drive,7
HM160J1,,HM160J1 - Dell 160GB 5400RPM SATA 1.5Gb/s 8MB Cache 2.5-inch Hard Drive,Dell,Laptop Hard Drive,7
75A23T0,,75A23T0 - Dell 320GB 5400RPM SATA 3Gb/s 2.5-inch Hard Drive,Dell,Laptop Hard Drive,7
75HPJT0,,75HPJT0 - Dell WD Black 750GB 7200RPM SATA 6Gb/s 16MB Cache 2.5-inch Hard Drive,Dell,Laptop Hard Drive,7
N031F06,,N031F06 - Dell 80GB 7200RPM ATA / IDE 2.5-inch Hard Drive,Dell,Laptop Hard Drive,7
5000C500AA1C8B99,,5000C500AA1C8B99 - HP 500GB 7200RPM SATA 6Gb/s 32MB Cache 2.5-inch Hard Drive,HP,Laptop Hard Drive,16
J607361021RSTRD,,J607361021RSTRD - HP 20GB 4200RPM IDE Ultra ATA-100 2MB Cache 2.5-inch High-Performance EIO Hard Drive for Color LaserJet 4700/9040/9050,HP,Laptop Hard Drive,15
HTS725050A7E631,,HTS725050A7E631 - HP Hitachi Travelstar Z7K500 500GB 7200RPM SATA 6Gb/s 32MB Cache 2.5-inch Hard Drive,HP,Laptop Hard Drive,15
C2986-61001-6GB,,C2986-61001-6GB - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,15
379810001CADDY,,379810001CADDY - HP 80GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,14
AS282AAR#ABA,,AS282AAR#ABA - HP 320GB 7200RPM SATA 3GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,12
413850-001-H,,413850-001-H - HP 40GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,12
P0003611-001,,P0003611-001 - HP 2TB 7200RPM SATA 6Gb/s 2.5-Inch Hard Drive,HP,Laptop Hard Drive,12
DQ451730-001,,DQ451730-001 - HP 80GB 4200RPM Ultra ATA-100 1.8-inch Embedded Mobile ZIF Hard Drive,HP,Laptop Hard Drive,12
367787-00115,,367787-00115 - HP 60GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,12
253922R-001,,253922R-001 - HP 48GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
316411R-018,,316411R-018 - HP 40GB 5400RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
383488R-120,,383488R-120 - HP 120GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
