sku,gtin,identifier,title,description,slug,price,sale_price,brand,condition,photo,gallery,product_type,quantity,weight,measure,length,width,height,google_product_category,meta_tag
336970001N,,No,336970001N HP 64MB ATI Mobility Radeon 9200 (M9+P) Graphics Controller Card for Presario X1000 & Pavilion ZT3000 Series,336970001N HP 64MB ATI Mobility Radeon 9200 (M9+P) Graphics Controller Card for Presario X1000 & Pavilion ZT3000 Series,hp-336970001n-graphic-cards,0,,HP,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,99,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,336970001N HP Graphic Cards
0H9142,,No,0H9142 Dell ATI Radeon X600 SE 128MB DDR PCI-Express DVI-I and TV-Out,0H9142 Dell ATI Radeon X600 SE 128MB DDR PCI-Express DVI-I and TV-Out,dell-0h9142-graphic-cards,2,,Dell,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,9995,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,0H9142 Dell Graphic Cards
109-A26030-01,,No,109-A26030-01 ATI Radeon X600 128MB PCI-Express Low Profile Video Graphics Card,109-A26030-01 ATI Radeon X600 128MB PCI-Express Low Profile Video Graphics Card,ati-technologies-109-a26030-01-graphic-cards,0,,ATI Technologies,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,109-A26030-01 ATI Technologies Graphic Cards
0K192G,,No,0K192G Dell Nvidia GeForce 9300 GE 256MB DDR2 64-Bit PCI-Express 2.0 x16 Video Graphics Card,0K192G Dell Nvidia GeForce 9300 GE 256MB DDR2 64-Bit PCI-Express 2.0 x16 Video Graphics Card,dell-0k192g-graphic-cards,0,,Dell,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,9996,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,0K192G Dell Graphic Cards
M474A2K43DB1-CTD,,No,M474A2K43DB1-CTD Samsung 16GB DDR4-2666MHz PC4-21300 ECC Unbuffered CL19 260-Pin SoDIMM 1.2V Dual Rank Memory Module,M474A2K43DB1-CTD Samsung 16GB DDR4-2666MHz PC4-21300 ECC Unbuffered CL19 260-Pin SoDIMM 1.2V Dual Rank Memory Module,samsung-m474a2k43db1-ctd-desktop-&-server-memories,217.36,,Samsung,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,M474A2K43DB1-CTD Samsung Laptop Memory
MT8HTF6464HY-667B3,,No,MT8HTF6464HY-667B3 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667B3 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667b3-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667B3 Micron Technology Laptop Memory
MT8HTF6464HY-667F,,No,MT8HTF6464HY-667F Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667F Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667f-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667F Micron Technology Laptop Memory
MT8HTF6464HY-667F1,,No,MT8HTF6464HY-667F1 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667F1 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667f1-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667F1 Micron Technology Laptop Memory
448208-002,,No,448208-002 HP 2.20GHz 2MB L3 Cache Socket F AMD Opteron 8354 Quad-Core Processor for ProLiant DL785 G5 Server,448208-002 HP 2.20GHz 2MB L3 Cache Socket F AMD Opteron 8354 Quad-Core Processor for ProLiant DL785 G5 Server,hp-448208-002-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,448208-002 HP AMD Processors
500056-L21,,No,500056-L21 HP 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad-Core Processor for ProLiant DL165 G5 Server,500056-L21 HP 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad-Core Processor for ProLiant DL165 G5 Server,hp-500056-l21-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,500056-L21 HP AMD Processors
516259-L21,,No,516259-L21 HP 2.30GHz 6MB L3 Cache Socket Fr2 AMD Opteron 2376 HE Quad-Core Processor for ProLiant DL385 G5 Server,516259-L21 HP 2.30GHz 6MB L3 Cache Socket Fr2 AMD Opteron 2376 HE Quad-Core Processor for ProLiant DL385 G5 Server,hp-516259-l21-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,516259-L21 HP AMD Processors
