sku,gtin,identifier,title,description,slug,price,sale_price,brand,condition,photo,gallery,product_type,quantity,weight,measure,length,width,height,google_product_category,meta_tag,meta_description,show_in_feed
A03-D1TBSATA=,,No,A03-D1TBSATA= - Cisco 1TB 7200RPM SATA 6GB/s 2.5-inch Hard Drive,A03-D1TBSATA= - Cisco 1TB 7200RPM SATA 6GB/s Hot-Pluggable 64MB Cache 2.5-inch Hard Drive,a03-d1tbsata-cisco-systems-inc-server-hard-drive,162.93,,Cisco Systems Inc,Refurbished,A03-D1TBSATA.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,A03-D1TBSATA= Cisco Systems Inc Server Hard Drive,,0
UCS-HD600G15KS2-E,,No,UCS-HD600G15KS2-E - Cisco 600GB 15000RPM SAS 6GB/s 2.5-inch Hard Drive,UCS-HD600G15KS2-E - Cisco 600GB 15000RPM SAS 6GB/s Hot-Swappable 2.5-inch SFF Hard Drive,ucs-hd600g15ks2-e-cisco-systems-inc-server-hard-drive,162.93,,Cisco Systems Inc,Refurbished,UCS-HD600G15KS2-E.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD600G15KS2-E Cisco Systems Inc Server Hard Drive,,0
UCS-HDD300GI2F105,,No,UCS-HDD300GI2F105 - Cisco 300GB 15000RPM SAS 6G 2.5-inch Hard Drive,UCS-HDD300GI2F105 - Cisco 300GB 15000RPM SAS 6GB/s Hot-Pluggable 2.5-inch SFF Hard Drive,ucs-hdd300gi2f105-cisco-systems-inc-server-hard-drive,53.62,,Cisco Systems Inc,Refurbished,UCS-HDD300GI2F105.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HDD300GI2F105 Cisco Systems Inc Server Hard Drive,,0
UCS-HD12T10KS2-E,,No,UCS-HD12T10KS2-E - Cisco 1.2TB 10000RPM SAS 6G 2.5-inch Hard Drive,UCS-HD12T10KS2-E - Cisco 1.2TB 10000RPM SAS 6GB/s Hot-Swappable 2.5-inch SFF Hard Drive,ucs-hd12t10ks2-e-cisco-systems-inc-server-hard-drive,253.7,,Cisco Systems Inc,Refurbished,UCS-HD12T10KS2-E.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12T10KS2-E Cisco Systems Inc Server Hard Drive,,0
UCS-HD12TB10KHY-E=,,No,UCS-HD12TB10KHY-E= - Cisco 1.2TB 10000RPM SAS 12G 3.5-inch Hard Drive,UCS-HD12TB10KHY-E= - Cisco 1.2TB 10000RPM SAS 12GB/s Hot-Swappable 3.5-inch Hard Drive,ucs-hd12tb10khy-e-cisco-systems-inc-server-hard-drive,808.61,,Cisco Systems Inc,Refurbished,UCS-HD12TB10KHY-E.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12TB10KHY-E= Cisco Systems Inc Server Hard Drive,,0
UCS-HD12TB10K12G,,No,UCS-HD12TB10K12G - Cisco 1.2TB 10000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD12TB10K12G - Cisco 1.2TB 10000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd12tb10k12g-cisco-systems-inc-server-hard-drive,56.35,,Cisco Systems Inc,Refurbished,UCS-HD12TB10K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12TB10K12G Cisco Systems Inc Server Hard Drive,,0
UCS-HD12TB10K12G=,,No,UCS-HD12TB10K12G= - Cisco 1.2TB 10000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD12TB10K12G= - Cisco 1.2TB 10000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd12tb10k12g-cisco-systems-inc-server-hard-drive,815.23,,Cisco Systems Inc,Refurbished,UCS-HD12TB10K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12TB10K12G= Cisco Systems Inc Server Hard Drive,,0
UCS-HD12TB10KHY-E,,No,UCS-HD12TB10KHY-E - Cisco 1.2TB 10000RPM SAS 12G 3.5-inch Hard Drive,UCS-HD12TB10KHY-E - Cisco 1.2TB 10000RPM SAS 12GB/s Hot-Swappable 3.5-inch Hard Drive,ucs-hd12tb10khy-e-cisco-systems-inc-server-hard-drive,1017.86,,Cisco Systems Inc,Refurbished,UCS-HD12TB10KHY-E.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD12TB10KHY-E Cisco Systems Inc Server Hard Drive,,0
UCS-HD450G15K12G,,No,UCS-HD450G15K12G - Cisco 450GB 15000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD450G15K12G - Cisco 450GB 15000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd450g15k12g-cisco-systems-inc-server-hard-drive,431.54,,Cisco Systems Inc,Refurbished,UCS-HD450G15K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD450G15K12G Cisco Systems Inc Server Hard Drive,,0
UCS-HD450G15K12G=,,No,UCS-HD450G15K12G= - Cisco 450GB 15000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD450G15K12G= - Cisco 450GB 15000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd450g15k12g-cisco-systems-inc-server-hard-drive,431.54,,Cisco Systems Inc,Refurbished,UCS-HD450G15K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD450G15K12G= Cisco Systems Inc Server Hard Drive,,0
UCS-HD600G10KS4K,,No,UCS-HD600G10KS4K - Cisco 600GB 10000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD600G10KS4K - Cisco 600GB 10000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd600g10ks4k-cisco-systems-inc-server-hard-drive,93.03,,Cisco Systems Inc,Refurbished,UCS-HD600G10KS4K.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD600G10KS4K Cisco Systems Inc Server Hard Drive,,0
UCS-HD600G10KS4K=,,No,UCS-HD600G10KS4K= - Cisco 600GB 10000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD600G10KS4K= - Cisco 600GB 10000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd600g10ks4k-cisco-systems-inc-server-hard-drive,281.47,,Cisco Systems Inc,Refurbished,UCS-HD600G10KS4K.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD600G10KS4K= Cisco Systems Inc Server Hard Drive,,0
UCS-HD600G15K12G,,No,UCS-HD600G15K12G - Cisco 600GB 15000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD600G15K12G - Cisco 600GB 15000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd600g15k12g-cisco-systems-inc-server-hard-drive,139.63,,Cisco Systems Inc,Refurbished,UCS-HD600G15K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD600G15K12G Cisco Systems Inc Server Hard Drive,,0
UCS-HD600G15K12G=,,No,UCS-HD600G15K12G= - Cisco 600GB 15000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD600G15K12G= - Cisco 600GB 15000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd600g15k12g-cisco-systems-inc-server-hard-drive,1469.37,,Cisco Systems Inc,Refurbished,UCS-HD600G15K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD600G15K12G= Cisco Systems Inc Server Hard Drive,,0
UCS-HD900G10K12G,,No,UCS-HD900G10K12G - Cisco 900GB 10000RPM SAS 12G 2.5-inch Hard Drive,UCS-HD900G10K12G - Cisco 900GB 10000RPM SAS 12GB/s Hot-Swappable 2.5-inch Hard Drive,ucs-hd900g10k12g-cisco-systems-inc-server-hard-drive,236.78,,Cisco Systems Inc,Refurbished,UCS-HD900G10K12G.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HD900G10K12G Cisco Systems Inc Server Hard Drive,,0
UCS-HDD300GI2F208,,No,UCS-HDD300GI2F208 - Cisco 300GB 15000RPM SAS 6G 3.5-inch Hard Drive,UCS-HDD300GI2F208 - Cisco 300GB 15000RPM SAS 6GB/s Hot-Pluggable 3.5-inch Hard Drive,ucs-hdd300gi2f208-cisco-systems-inc-server-hard-drive,479.87,,Cisco Systems Inc,Refurbished,UCS-HDD300GI2F208.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-HDD300GI2F208 Cisco Systems Inc Server Hard Drive,,0
HDD-7835-I2-146=,,No,HDD-7835-I2-146= - Cisco 146GB 10000RPM SAS 3G 2.5-inch Hard Drive,HDD-7835-I2-146= - Cisco 146GB 10000RPM SAS 3GB/s Hot-Swappable 2.5-inch Hard Drive,hdd-7835-i2-146-cisco-systems-inc-server-hard-drive,319.45,,Cisco Systems Inc,Refurbished,HDD-7835-I2-146.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,HDD-7835-I2-146= Cisco Systems Inc Server Hard Drive,,0
HDD-7845-I2-146=,,No,HDD-7845-I2-146= - Cisco 146GB 10000RPM SAS 3G 2.5-inch Hard Drive,HDD-7845-I2-146= - Cisco 146GB 10000RPM SAS 3GB/s Hot-Pluggable 2.5-inch Hard Drive,hdd-7845-i2-146-cisco-systems-inc-server-hard-drive,319.45,,Cisco Systems Inc,Refurbished,HDD-7845-I2-146.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,HDD-7845-I2-146= Cisco Systems Inc Server Hard Drive,,0
